ID,Name,Type,Methodology,Status,Years,Team,Collaborators,Funding,Products,Notebook,Connections,Content
MsEE,Multi-scale evolutionary engineering,Lab,,,,,,,,,,"Bioengineering needs an evolutionary toolbox.
We help build it.

Forecasting evolution can allow us to design biotechnology, healthcare, and policy that is more effective and robust.

To do this, we build tools to incorporate evolutionary likelihood into bioengineering across scales, from the molecular to the metapopulation level.

We foster open collaboration, effective communication, and dedicated mentorship. We rethink and experiment with how science operates and how it interacts with society.

MsEE Lab is led by Pablo Cárdenas R. and will open in the summer of 2026 at the Smith School of Chemical and Biomolecular Engineering of Cornell University in Ithaca, NY, USA. "
Applications,Applications,Branch,,,,,,,,,MsEE,"We collaborate with different area experts to apply the tools and design principles of evolutionarily-robust bioengineering on problems ranging across antimalarial discovery, influenza immunity, and therapeutic delivery for cancer and beyond. We look forward to seeing this list grow!"
SynBio,Synthetic biology,Branch,,,,,,,,,MsEE,"In order to measure the impact of engineering interventions on evolution, we need tightly-controlled experimental systems with which to dissect these effects. Synthetic biology allows us to repurpose systems with different biological functions into tools for manipulating evolution in a controlled environment."
CompMod,Computational models,Branch,,,,,,,,,MsEE,"To evaluate the evolutionary robustness of different strategies in a bottom-up, quantitative, and causal fashion, we develop multi-scale, mechanistic computational models. We inform these models with parameters derived from top-down machine learning and simulation-based inference."
ExpEvo,Synthetic experimental models of evolution,Tool,Experimental,Planned,≥2027,None at the moment.,None at the moment.,None at the moment.,None at the moment.,,SynBio,
FitToProb,How does fitness landscape shape evolutionary likelihood?,Question,Experimental & computational,Planned,≥2026,None at the moment.,None at the moment.,None at the moment.,None at the moment.,,"SynBio, CompMod",
PredictLandscapes,Trajectory forecasting in viral evolution,Tool,Experimental & computational,Planned,≥2025,None at the moment.,"<a target=""_blank"" href=""https://sarahgurev.github.io/"">Sarah Gurev</a> (MIT 🇺🇸)",None at the moment.,None at the moment.,,"CompMod, Applications, glOpqua, FitToProb",
EvoRobSynTher,Evolutionary robustness optimization for synthetic therapeutics,Tool,Experimental & computational,Active,2025++,None at the moment.,"<a target=""_blank"" href=""https://tetsuharimoto.wixsite.com/cornell"">Tetsuhiro Harimoto</a> (Cornell 🇺🇸)",None at the moment.,None at the moment.,,"Applications, SynBio, CompMod",
Opqua,Opqua: Evo-epidemiological simulation in Python,Tool,Computational,Archived,2020–2024,Pablo Cárdenas R.,"<a target=""_blank"" href=""https://biomac-lab.github.io/team/"">Mauricio Santos Vega</a> (Uniandes 🇨🇴), <a target=""_blank"" href=""http://www.hermes.unal.edu.co/pages/Docentes/Docente.jsf?u=vcorredore"">Vladimir Corredor</a> (UNAL 🇨🇴)",None at the moment.,"<a target=""_blank"" href=""https://github.com/pablocarderam/opqua"">Opqua</a>, <a target=""_blank"" href=""https://doi.org/10.1126/sciadv.abo0173"">Cárdenas <i>et al.</i> (2022)</a>",,CompMod,
jOpqua,jOpqua: Evo-immuno-epidemiological simulation in Julia,Tool,Computational,Active,2024++,Pablo Cárdenas R.,"<a target=""_blank"" href=""https://schmidtlab.med.harvard.edu/people"">Connor Murphy</a> (Ragon Institute 🇺🇸), <a target=""_blank"" href=""https://schmidtlab.med.harvard.edu/people"">Aaron Schmidt</a> (Ragon Institute 🇺🇸)",None at the moment.,"<a target=""_blank"" href=""https://github.com/pablocarderam/jopqua"">jOpqua</a>",https://github.com/pablocarderam/jOpqua/blob/main/changelog.md,"CompMod, Opqua",
IntrahostAlg,Intrahost pathogen evolution algorithm,Tool,Computational,Planned,"2023–2024, ≥2027",None at the moment.,None at the moment.,None at the moment.,None at the moment.,,"CompMod, jOpqua",
KeyEvts,What are the minimal key events required to recapitulate evolution?,Question,Experimental & computational,Planned,"2023–2024, ≥2027",None at the moment.,None at the moment.,None at the moment.,None at the moment.,,"CompMod, SynBio, IntrahostAlg, ExpEvo",
glOpqua,glOpqua: Host-to-global scale evo-epidemiological simulation,Tool,Computational,Planned,"2024, ≥2027",None at the moment.,None at the moment.,None at the moment.,None at the moment.,,"CompMod, jOpqua",
Flexle,Flexle: Flexible level-based sampling,Tool,Computational,Active,2025,Pablo Cárdenas R.,"Led by <a target=""_blank"" href=""https://schmidtlab.med.harvard.edu/people"">Connor Murphy</a> (Ragon Institute 🇺🇸)",None at the moment.,"<a target=""_blank"" href=""https://github.com/connormurphy798/Flexle.jl"">Flexle</a>",,"CompMod, jOpqua","Fast, dynamically weighted random sampling algorithm implementation in Julia."
